Date,order id,Product ,Qty,Unit Price (NGN),Total,Vendor,channel,Payment Method,Delivery Fee
18/06/2026,BD34928,Pounded Yam & Egusi,1,2500,2500,Amala Pavilion,Phone,POS,500
30-May-2026,BD29231,Zobo,1,500,500,Amala Pavilion,Walk In,Cash,500
20/06/2026,BD69545,Meat Pie,1,800,800,Jummie Kitchen,Walk In,POS,0
26/05/2026,BD13862,Bottled Water,1,200,200,Jummie Kitchen,walk-in,Transfer,200
02/06/2026,BD54025,Fish (piece),1,1200,1200,Butter N Crumbs,,,0
27/06/2026,BD89445,Chicken (piece),2,1500,3000,Munchies,App,transfer,200
31/05/2026,BD70245,Eba & Okra,1,1500,1500,Jummie Kitchen,walk-in,Transfer,500
05/07/2026,BD41949,Chicken (piece),1,1500,1500,Munchies,walkin,card,300
2026-06-21,BD15593,Meat Pie,1,800,800,Munchies,walk-in,POS,500
24/07/2026,BD76062,Eba & Okra,1,1500,1500,Jummie Kitchen,Walk In,Transfer,0
20/07/2026,BD15073,Amala & Ewedu,1,2000,2000,Butter N Crumbs,Walk In,Cash,200
04/07/2026,BD54186,Bottled Water,1,200,200,Butter N Crumbs,Walk In,Transfer,500
2026-05-27,BD47851,Moi Moi,1,700,700,Munchies,APP,Transfer,0
13/06/2026,BD37508,Bottled Water,4,200,800,Butter N Crumbs,Phone,POS,300
12/07/2026,BD58614,Bottled Water,2,200,400,Alaga Spot,Phone,card,0
12/05/2026,BD86791,Eba & Okra,1,1500,1500,Munchies,Walk In,pos,0
16/06/2026,BD26264,Soft Drink,1,400,400,Alaga Spot,App,Transfer,500
10-Jul-2026,BD74819,Chicken (piece),3,1500,4500,Amala Pavilion,phone,transfer,0
2026-05-16,BD72236,Soft Drink,1,NGN400,400,Alaga Spot,Phone,cash,0
24/06/2026,BD75960,Fish (piece),1,1200,1200,Butter N Crumbs,Phone,POS,200
15/05/2026,BD70807,Pounded Yam & Egusi,1,2500,2500,Amala Pavilion,walk-in,POS,500
14/06/2026,BD20531,Beef (piece),2,800,1600,Alaga Spot,phone,Transfer,300
18/07/2026,BD78673,Bottled Water,1,200,200,Munchies,Phone,card,500
24/05/2026,BD15175,Jollof Rice,2,1800,3600,Amala Pavilion,Walk In,card,300
08-Jun-2026,BD61345,  CHICKEN (PIECE)  ,1,1500,1500,Munchies,App,POS,300
14/06/2026,BD73176,  MEAT PIE  ,2,800,1600,Amala Pavilion,phone,pos,0
2026-05-02,BD46585,Moi Moi,1,700,700,Butter N Crumbs,phone,POS,500
27/07/2026,BD38606,Meat Pie,1,NGN800,800,Butter N Crumbs,Walk In,cash,200
23/07/2026,BD12799,Meat Pie,2,739,1478,Alaga Spot,APP,pos,0
2026-06-28,BD43954,Jollof Rice,1,1800,1800,Munchies,walkin,card,0
23/05/2026,BD34371,Puff Puff (6pcs),1,456,456,Jummie Kitchen,Walk In,Transfer,300
29/07/2026,BD79748,Amala & Ewedu,1,2000,2000,Butter N Crumbs,app,Cash,0
16/06/2026,BD47098,Eba & Okra,2,"NGN1,500",3000,Alaga Spot,phone,transfer,0
13/06/2026,BD15723,Zobo,2,500,1000,Alaga Spot,Walk In,POS,500
21/06/2026,BD51472,Jollof Rice,1,1800,1800,Amala Pavilion,Walk In,card,0
07/07/2026,BD65611,Zobo,1,NGN500,500,Alaga Spot,walk-in,pos,200
25/07/2026,BD17259,Moi Moi,2,637,1274,Alaga Spot,walkin,Cash,300
13/06/2026,BD75509,Chicken (piece),3,1500,4500,Jummie Kitchen,walkin,Transfer,300
30/05/2026,BD46989,Jollof Rice,2,1800,3600,Alaga Spot,phone,POS,500
11/05/2026,BD38668,Soft Drink,2,400,800,Jummie Kitchen,app,card,500
18/07/2026,BD22568,Pounded Yam & Egusi,1,2500,2500,Amala Pavilion,walk-in,transfer,500
24/07/2026,BD65328,Beef (piece),1,800,800,Butter N Crumbs,App,POS,200
19/07/2026,BD35383,Jollof Rice,1,1679,1679,Alaga Spot,phone,card,500
02/05/2026,BD44335,Soft Drink,1,437,437,Amala Pavilion,phone,card,0
2026-07-16,BD78566,Fish (piece),2,1200,2400,Amala Pavilion,walk-in,card,200
09/05/2026,BD78712,Chicken (piece),1,1500,1500,Butter N Crumbs,phone,Transfer,0
04/05/2026,BD42816,  CHICKEN (PIECE)  ,1,1500,1500,Alaga Spot,app,pos,200
18/07/2026,BD97776,Meat Pie,2,800,1600,Butter N Crumbs,APP,pos,200
2026-07-15,BD28045,Jollof Rice,1,1800,1800,Jummie Kitchen,phone,pos,300
16/06/2026,BD54595,Amala & Ewedu,1,2000,2000,Alaga Spot,App,card,200
14/06/2026,BD93963,Jollof Rice,2,1800,3600,Butter N Crumbs,app,Transfer,0
06/07/2026,BD28352,Fish (piece),1,1200,1200,Jummie Kitchen,app,Transfer,200
01/07/2026,BD11932,Meat Pie,2,800,1600,Butter N Crumbs,APP,transfer,500
10/07/2026,BD34386,Moi Moi,1,700,700,Butter N Crumbs,phone,POS,500
25-Jul-2026,BD48528,Pounded Yam & Egusi,3,2500,7500,Butter N Crumbs,phone,POS,0
07/06/2026,BD63546,Soft Drink,1,400,400,Munchies,Walk In,cash,0
27/05/2026,BD96445,Moi Moi,1,700,700,Alaga Spot,APP,Transfer,0
07/07/2026,BD26338,  PUFF PUFF (6PCS)  ,1,500,500,Alaga Spot,App,Transfer,0
05/06/2026,BD85000,Chicken (piece),2,1500,3000,Butter N Crumbs,APP,card,0
17/05/2026,BD49722,Zobo,1,500,500,Amala Pavilion,App,pos,0
19/05/2026,BD43425,  POUNDED YAM & EGUSI  ,1,2500,2500,Amala Pavilion,APP,transfer,0
24/05/2026,BD20480,Chicken (piece),2,"NGN1,695",3390,Munchies,walkin,card,300
15/07/2026,BD38242,  FISH (PIECE)  ,1,1200,1200,Amala Pavilion,app,transfer,300
18/07/2026,BD34763,Moi Moi,2,700,1400,Jummie Kitchen,Phone,Cash,500
27/07/2026,BD25071,Soft Drink,2,400,800,Alaga Spot,walkin,Cash,0
17/07/2026,BD73733,Beef (piece),1,800,800,Amala Pavilion,APP,pos,300
15/06/2026,BD97897,Bottled Water,1,200,200,Alaga Spot,Phone,transfer,200
25/05/2026,BD61684,Chicken (piece),1,1500,1500,Jummie Kitchen,App,Cash,500
30/05/2026,BD67041,Moi Moi,2,700,1400,Alaga Spot,Phone,Transfer,0
09/05/2026,BD86106,Chicken (piece),1,1500,1500,Butter N Crumbs,walkin,pos,500
2026-07-08,BD64411,Puff Puff (6pcs),2,500,1000,Munchies,walkin,Cash,200
07/05/2026,BD76497,  BEEF (PIECE)  ,1,800,800,Amala Pavilion,Phone,transfer,0
10/07/2026,BD20097,Zobo,3,500,1500,Alaga Spot,walkin,pos,0
17/06/2026,BD39500,White Rice & Stew,2,1500,3000,Jummie Kitchen,APP,card,200
23/05/2026,BD56771,White Rice & Stew,1,1500,1500,Jummie Kitchen,Phone,Cash,500
06-Jun-2026,BD28993,Puff Puff (6pcs),2,500,1000,Jummie Kitchen,Walk In,transfer,500
30/06/2026,BD83696,Meat Pie,1,800,800,Jummie Kitchen,walkin,Cash,300
05/07/2026,BD83093,  BEEF (PIECE)  ,1,800,800,Jummie Kitchen,,,300
2026-07-20,BD24095,Bottled Water,1,200,200,Jummie Kitchen,App,pos,500
09/05/2026,BD67807,Jollof Rice,1,1800,1800,Alaga Spot,phone,POS,0
18/07/2026,BD54747,Puff Puff (6pcs),2,500,1000,Butter N Crumbs,App,cash,0
2026-07-27,BD51182,Amala & Ewedu,1,2000,2000,Alaga Spot,walk-in,cash,300
02-May-2026,BD22833,  ZOBO  ,1,500,500,Butter N Crumbs,app,transfer,0
09/05/2026,BD45842,Fish (piece),2,1200,2400,Butter N Crumbs,phone,Cash,200
13/07/2026,BD42688,Meat Pie,2,800,1600,Alaga Spot,Phone,transfer,0
06/06/2026,BD48970,Soft Drink,3,400,1200,Amala Pavilion,walk-in,card,0
2026-07-10,BD76512,Bottled Water,1,200,200,Butter N Crumbs,walkin,transfer,500
17-Jul-2026,BD51881,Chicken (piece),1,1500,1500,Amala Pavilion,walk-in,Transfer,300
27/07/2026,BD12979,Fish (piece),3,1200,3600,Butter N Crumbs,Walk In,transfer,0
10/06/2026,BD46356,Meat Pie,1,800,800,Alaga Spot,app,card,200
01/05/2026,BD30926,Chicken (piece),1,1500,1500,Jummie Kitchen,Walk In,Transfer,0
13-Jul-2026,BD18030,Puff Puff (6pcs),1,500,500,Butter N Crumbs,app,transfer,0
16/06/2026,BD48456,Amala & Ewedu,1,2000,2000,Amala Pavilion,APP,card,300
03/07/2026,BD87483,Zobo,1,500,500,Munchies,APP,pos,0
09/06/2026,BD64396,Eba & Okra,1,1500,1500,Alaga Spot,APP,pos,500
11-Jul-2026,BD34651,Bottled Water,2,200,400,Jummie Kitchen,APP,POS,200
10/06/2026,BD56061,Pounded Yam & Egusi,1,2500,2500,Alaga Spot,Walk In,transfer,0
16/05/2026,BD90495,Chicken (piece),1,1500,1500,Alaga Spot,walkin,POS,0
29/05/2026,BD60801,Beef (piece),4,800,3200,Butter N Crumbs,App,transfer,200
02/06/2026,BD79842,Soft Drink,1,400,400,Amala Pavilion,walkin,pos,0
10/05/2026,BD55371,Moi Moi,1,NGN700,700,Alaga Spot,App,transfer,300
08-Jun-2026,BD49013,Soft Drink,1,400,400,Amala Pavilion,Phone,card,200
27/06/2026,BD81707,Amala & Ewedu,1,2000,2000,Jummie Kitchen,app,Transfer,300
07/05/2026,BD43029,Fried Rice,1,1800,1800,Butter N Crumbs,APP,cash,0
26/06/2026,BD32806,Bottled Water,2,NGN200,400,Amala Pavilion,phone,transfer,0
16/05/2026,BD97232,Fish (piece),3,1200,3600,Alaga Spot,phone,cash,200
18/06/2026,BD36013,White Rice & Stew,1,1500,1500,Jummie Kitchen,app,Transfer,300
08/07/2026,BD50819,Puff Puff (6pcs),1,NGN500,500,Jummie Kitchen,APP,cash,500
18/06/2026,BD36082,Moi Moi,2,700,1400,Jummie Kitchen,App,Cash,300
21/06/2026,BD70929,Beef (piece),1,800,800,Alaga Spot,App,Cash,300
07/05/2026,BD95990,Chicken (piece),2,1500,3000,Amala Pavilion,APP,card,0
09/06/2026,BD63648,Moi Moi,2,700,1400,Butter N Crumbs,walkin,transfer,300
09-May-2026,BD78069,Jollof Rice,1,1800,1800,Butter N Crumbs,APP,cash,500
21/07/2026,BD50902,Bottled Water,1,200,200,Amala Pavilion,Walk In,transfer,0
15/07/2026,BD60930,Soft Drink,1,400,400,Amala Pavilion,phone,card,0
24/05/2026,BD91785,Chicken (piece),2,1500,3000,Jummie Kitchen,app,cash,0
21/06/2026,BD37979,Jollof Rice,1,1800,1800,Munchies,phone,transfer,200
22/07/2026,BD55123,Chicken (piece),2,1500,3000,Butter N Crumbs,phone,card,200
06/07/2026,BD19154,  EBA & OKRA  ,3,1500,4500,Munchies,phone,pos,500
21/05/2026,BD25403,  ZOBO  ,2,547,1094,Alaga Spot,app,pos,300
03/07/2026,BD12185,Pounded Yam & Egusi,4,2500,10000,Jummie Kitchen,APP,card,200
2026-05-14,BD45916,  ZOBO  ,2,500,1000,Jummie Kitchen,Walk In,transfer,200
31/05/2026,BD95467,Beef (piece),1,800,800,Jummie Kitchen,Walk In,cash,0
16-Jun-2026,BD12826,Pounded Yam & Egusi,4,2500,10000,Jummie Kitchen,phone,POS,300
29/07/2026,BD26361,Eba & Okra,2,1500,3000,Butter N Crumbs,APP,pos,200
2026-05-21,BD90473,Chicken (piece),1,1500,1500,Jummie Kitchen,app,pos,0
2026-07-15,BD85597,Moi Moi,2,700,1400,Munchies,Walk In,POS,200
24/07/2026,BD40907,Pounded Yam & Egusi,1,2500,2500,Jummie Kitchen,walk-in,cash,200
29/07/2026,BD83227,Beef (piece),1,800,800,Butter N Crumbs,walkin,pos,300
23/07/2026,BD26617,Puff Puff (6pcs),3,500,1500,Alaga Spot,App,card,300
17-May-2026,BD28004,Meat Pie,1,800,800,Jummie Kitchen,phone,card,300
02-May-2026,BD44664,Pounded Yam & Egusi,3,2500,7500,Munchies,APP,cash,200
18/07/2026,BD54220,Beef (piece),1,800,800,Amala Pavilion,walkin,Transfer,300
10/06/2026,BD87187,  PUFF PUFF (6PCS)  ,1,500,500,Munchies,walkin,Cash,0
2026-07-11,BD16943,Beef (piece),1,800,800,Jummie Kitchen,App,pos,0
2026-06-06,BD45118,Amala & Ewedu,2,"NGN2,000",4000,Butter N Crumbs,phone,card,0
17/06/2026,BD39591,Eba & Okra,3,1500,4500,Munchies,phone,Transfer,300
01/06/2026,BD54470,  SOFT DRINK  ,2,400,800,Munchies,phone,transfer,0
2026-06-11,BD56900,Fish (piece),1,1200,1200,Butter N Crumbs,Walk In,pos,0
13/07/2026,BD87374,Eba & Okra,2,1500,3000,Alaga Spot,walkin,pos,200
25/05/2026,BD60940,Pounded Yam & Egusi,1,2500,2500,Jummie Kitchen,App,transfer,200
12/05/2026,BD74357,Moi Moi,4,700,2800,Alaga Spot,walkin,Cash,200
23-May-2026,BD29148,  FISH (PIECE)  ,2,1200,2400,Amala Pavilion,App,card,300
27/07/2026,BD75491,Meat Pie,1,800,800,Alaga Spot,APP,transfer,0
2026-05-01,BD83000,White Rice & Stew,1,1500,1500,Jummie Kitchen,app,Transfer,0
20/05/2026,BD10659,Jollof Rice,1,1800,1800,Amala Pavilion,App,cash,0
24/05/2026,BD52283,Beef (piece),1,800,800,Jummie Kitchen,App,transfer,500
23/06/2026,BD29398,Zobo,1,500,500,Amala Pavilion,Phone,POS,0
26/07/2026,BD84548,Meat Pie,2,800,1600,Jummie Kitchen,App,cash,0
07/07/2026,BD36213,Soft Drink,1,400,400,Amala Pavilion,walk-in,cash,500
13/05/2026,BD68176,Beef (piece),1,NGN800,800,Munchies,app,pos,0
07/06/2026,BD46831,Fried Rice,1,1800,1800,Amala Pavilion,Walk In,cash,500
2026-06-04,BD72851,Zobo,1,500,500,Jummie Kitchen,APP,pos,300
28/05/2026,BD90649,Beef (piece),2,800,1600,Amala Pavilion,app,cash,200
19/05/2026,BD32779,Pounded Yam & Egusi,1,2500,2500,Munchies,phone,transfer,300
14/07/2026,BD64572,Bottled Water,1,200,200,Amala Pavilion,APP,card,0
2026-07-19,BD74681,Amala & Ewedu,1,2000,2000,Amala Pavilion,walkin,card,200
2026-06-01,BD80328,Bottled Water,2,200,400,Butter N Crumbs,walk-in,transfer,0
07/07/2026,BD12815,Bottled Water,2,NGN200,400,Jummie Kitchen,app,card,300
05/05/2026,BD93442,Bottled Water,2,200,400,Jummie Kitchen,APP,POS,0
24-May-2026,BD11498,Soft Drink,2,400,800,Amala Pavilion,app,cash,500
09/06/2026,BD68482,Zobo,1,NGN500,500,Butter N Crumbs,Phone,POS,200
21/05/2026,BD90200,Pounded Yam & Egusi,1,2500,2500,Amala Pavilion,walk-in,Cash,500
02/07/2026,BD37606,Fish (piece),1,1200,1200,Alaga Spot,APP,card,300
28/06/2026,BD29450,Eba & Okra,1,1500,1500,Alaga Spot,APP,Cash,0
2026-07-28,BD14692,Puff Puff (6pcs),2,500,1000,Amala Pavilion,App,cash,0
09/05/2026,BD58567,Fish (piece),4,1200,4800,Munchies,walkin,Transfer,300
27/05/2026,BD78657,Fried Rice,1,1800,1800,Butter N Crumbs,APP,Cash,500
10/06/2026,BD26458,Chicken (piece),2,1500,3000,Amala Pavilion,Phone,transfer,500
25/07/2026,BD91759,Bottled Water,1,200,200,Amala Pavilion,phone,pos,200
08-May-2026,BD93584,Meat Pie,1,800,800,Jummie Kitchen,walk-in,transfer,0
19/06/2026,BD83774,Soft Drink,2,400,800,Alaga Spot,Walk In,cash,300
08/07/2026,BD18693,Jollof Rice,1,1800,1800,Amala Pavilion,Phone,Cash,500
19/06/2026,BD86449,Jollof Rice,1,1800,1800,Amala Pavilion,Walk In,pos,500
09/06/2026,BD22843,Meat Pie,1,800,800,Amala Pavilion,phone,transfer,0
28/07/2026,BD96449,Eba & Okra,2,1500,3000,Jummie Kitchen,Phone,transfer,200
01/05/2026,BD17100,Fried Rice,2,1800,3600,Munchies,app,Cash,200
29-Jun-2026,BD25720,Meat Pie,1,800,800,Amala Pavilion,,,0
09/06/2026,BD49838,Zobo,2,500,1000,Butter N Crumbs,App,POS,0
04/07/2026,BD23711,Moi Moi,2,700,1400,Munchies,APP,Cash,300
14/06/2026,BD82463,Bottled Water,3,200,600,Jummie Kitchen,phone,Cash,200
22/06/2026,BD71548,Amala & Ewedu,2,2000,4000,Jummie Kitchen,Phone,Cash,300
12/07/2026,BD84906,Fried Rice,1,1800,1800,Jummie Kitchen,phone,Cash,0
15/06/2026,BD86342,Jollof Rice,1,1800,1800,Munchies,App,Transfer,500
2026-05-14,BD92251,  POUNDED YAM & EGUSI  ,1,2500,2500,Amala Pavilion,walkin,transfer,300
02/07/2026,BD61543,Eba & Okra,1,1500,1500,Amala Pavilion,Phone,cash,200
03/06/2026,BD68402,Eba & Okra,1,1479,1479,Munchies,walk-in,POS,300
31/05/2026,BD83886,Pounded Yam & Egusi,1,2826,2826,Amala Pavilion,APP,card,0
23/07/2026,BD10012,Fried Rice,1,1800,1800,Jummie Kitchen,walkin,pos,300
07/05/2026,BD15544,Soft Drink,2,NGN400,800,Amala Pavilion,App,pos,200
03/05/2026,BD97747,Amala & Ewedu,1,1876,1876,Alaga Spot,Phone,POS,200
26/07/2026,BD64749,Meat Pie,1,800,800,Munchies,Phone,Transfer,0
17-May-2026,BD98063,Beef (piece),1,800,800,Jummie Kitchen,APP,pos,500
22/07/2026,BD65079,Pounded Yam & Egusi,1,2500,2500,Butter N Crumbs,Phone,transfer,0
23/07/2026,BD27723,  MOI MOI  ,3,700,2100,Alaga Spot,walk-in,pos,0
10/07/2026,BD83463,Amala & Ewedu,1,2000,2000,Butter N Crumbs,APP,Cash,500
27/07/2026,BD81581,Pounded Yam & Egusi,1,2500,2500,Amala Pavilion,Phone,Transfer,300
11/06/2026,BD98864,  ZOBO  ,1,500,500,Butter N Crumbs,Walk In,POS,500
07-May-2026,BD21053,Jollof Rice,1,1800,1800,Alaga Spot,app,Transfer,300
19/06/2026,BD46968,  AMALA & EWEDU  ,1,2000,2000,Alaga Spot,APP,pos,300
24/07/2026,BD92686,Puff Puff (6pcs),2,500,1000,Butter N Crumbs,app,POS,0
18/07/2026,BD17821,Beef (piece),1,800,800,Munchies,walkin,pos,300
15/07/2026,BD46885,White Rice & Stew,1,1500,1500,Jummie Kitchen,phone,Transfer,0
11/06/2026,BD84949,Meat Pie,1,758,758,Alaga Spot,phone,transfer,0
24/07/2026,BD26014,Amala & Ewedu,2,2000,4000,Alaga Spot,APP,pos,0
07/07/2026,BD52661,Puff Puff (6pcs),3,500,1500,Butter N Crumbs,Phone,transfer,300
18/05/2026,BD23082,Puff Puff (6pcs),4,500,2000,Munchies,Walk In,cash,200
16/05/2026,BD50508,Soft Drink,4,400,1600,Munchies,App,transfer,0
2026-06-02,BD86037,Meat Pie,1,800,800,Alaga Spot,walk-in,cash,200
25/07/2026,BD58222,Zobo,1,500,500,Jummie Kitchen,APP,transfer,0
01/05/2026,BD55082,Bottled Water,1,200,200,Munchies,Phone,card,0
01/05/2026,BD99593,White Rice & Stew,1,1500,1500,Butter N Crumbs,APP,card,0
08/06/2026,BD64638,White Rice & Stew,3,1500,4500,Jummie Kitchen,Phone,pos,0
17-May-2026,BD63031,Beef (piece),1,800,800,Munchies,walk-in,cash,0
14/05/2026,BD24777,Bottled Water,3,200,600,Butter N Crumbs,App,card,0
27/07/2026,BD35340,Bottled Water,1,200,200,Jummie Kitchen,app,transfer,0
15/07/2026,BD64386,Jollof Rice,1,1800,1800,Munchies,walk-in,card,0
18/05/2026,BD53371,Soft Drink,1,400,400,Munchies,walk-in,card,300
22/07/2026,BD17810,Moi Moi,1,711,711,Butter N Crumbs,Walk In,Transfer,300
12/07/2026,BD33634,Zobo,1,500,500,Munchies,walk-in,Cash,500
05/05/2026,BD30232,  JOLLOF RICE  ,2,1800,3600,Jummie Kitchen,walkin,card,300
14/07/2026,BD35923,Bottled Water,1,200,200,Amala Pavilion,Walk In,Transfer,500
14/05/2026,BD72613,  SOFT DRINK  ,1,400,400,Amala Pavilion,App,POS,0
02/05/2026,BD91351,Eba & Okra,2,1500,3000,Alaga Spot,APP,pos,0
18/07/2026,BD29711,Fried Rice,2,1800,3600,Amala Pavilion,phone,transfer,500
05/07/2026,BD28162,Moi Moi,1,700,700,Butter N Crumbs,App,card,500
11/06/2026,BD18853,Eba & Okra,1,1500,1500,Alaga Spot,APP,POS,500
23/05/2026,BD83472,Bottled Water,1,200,200,Alaga Spot,APP,POS,300
20-Jul-2026,BD30629,Pounded Yam & Egusi,1,2500,2500,Butter N Crumbs,App,Cash,500
14-May-2026,BD55054,Eba & Okra,1,1500,1500,Munchies,app,transfer,300
28/07/2026,BD35688,Amala & Ewedu,3,2000,6000,Alaga Spot,app,card,300
17/06/2026,BD24841,Jollof Rice,1,1800,1800,Alaga Spot,App,cash,200
04/07/2026,BD39057,Eba & Okra,1,1500,1500,Alaga Spot,walk-in,cash,200
11/07/2026,BD76496,Zobo,1,500,500,Amala Pavilion,app,card,0
29/06/2026,BD98091,Meat Pie,1,800,800,Jummie Kitchen,app,Cash,0
23/05/2026,BD41399,Soft Drink,1,400,400,Butter N Crumbs,Walk In,cash,500
2026-05-02,BD98777,Meat Pie,1,800,800,Alaga Spot,Walk In,Cash,500
25/06/2026,BD84130,Chicken (piece),1,1500,1500,Munchies,phone,Transfer,300
13/07/2026,BD95831,Pounded Yam & Egusi,2,2500,5000,Jummie Kitchen,Walk In,pos,0
24/06/2026,BD19103,Soft Drink,3,400,1200,Jummie Kitchen,Phone,Transfer,0
03/05/2026,BD62994,Pounded Yam & Egusi,1,2460,2460,Amala Pavilion,APP,card,500
08-May-2026,BD26341,Eba & Okra,1,1500,1500,Alaga Spot,Walk In,Cash,500
13/06/2026,BD80464,Moi Moi,2,700,1400,Butter N Crumbs,app,card,0
14/07/2026,BD11828,Moi Moi,4,700,2800,Alaga Spot,APP,card,0
18-Jul-2026,BD93275,Bottled Water,1,200,200,Butter N Crumbs,Walk In,Cash,0
13/06/2026,BD81568,Zobo,1,500,500,Alaga Spot,walkin,cash,200
28-Jul-2026,BD66773,Chicken (piece),2,1500,3000,Butter N Crumbs,Walk In,card,200
01/07/2026,BD42598,Zobo,1,500,500,Munchies,app,pos,500
02/07/2026,BD20154,Zobo,1,500,500,Munchies,walk-in,cash,0
03/06/2026,BD31135,Soft Drink,2,400,800,Munchies,walkin,card,0
31/05/2026,BD40958,Beef (piece),1,800,800,Butter N Crumbs,app,cash,0
04/05/2026,BD69682,Puff Puff (6pcs),1,500,500,Alaga Spot,walk-in,card,300
07/07/2026,BD89522,Fish (piece),4,1200,4800,Munchies,App,transfer,200
27/06/2026,BD15821,Moi Moi,1,NGN700,700,Amala Pavilion,APP,POS,300
22/06/2026,BD30760,Eba & Okra,1,1500,1500,Jummie Kitchen,App,Transfer,500
2026-05-05,BD57537,  FISH (PIECE)  ,1,1200,1200,Jummie Kitchen,walkin,transfer,300
12/05/2026,BD93086,Fish (piece),1,1200,1200,Amala Pavilion,walkin,cash,0
23/07/2026,BD19721,Amala & Ewedu,3,2000,6000,Butter N Crumbs,App,cash,500
24/07/2026,BD55265,Jollof Rice,1,1737,1737,Munchies,walkin,POS,500
01/05/2026,BD84341,Bottled Water,1,200,200,Jummie Kitchen,walk-in,POS,300
10/05/2026,BD86344,Amala & Ewedu,1,2000,2000,Munchies,Walk In,POS,200
16/05/2026,BD11620,Moi Moi,1,700,700,Butter N Crumbs,phone,transfer,300
09/05/2026,BD47453,Puff Puff (6pcs),1,500,500,Munchies,phone,Transfer,200
25/06/2026,BD39300,Meat Pie,1,800,800,Alaga Spot,Walk In,POS,200
2026-07-14,BD73530,Puff Puff (6pcs),1,500,500,Butter N Crumbs,walk-in,pos,0
07/06/2026,BD22182,  BOTTLED WATER  ,1,200,200,Jummie Kitchen,Phone,POS,0
06/06/2026,BD46408,Amala & Ewedu,1,2000,2000,Alaga Spot,app,POS,300
29-May-2026,BD53684,Zobo,1,500,500,Munchies,App,card,200
20/05/2026,BD94663,Fish (piece),2,1200,2400,Alaga Spot,APP,Transfer,0
15/07/2026,BD49139,Fish (piece),3,1200,3600,Alaga Spot,,,300
17/05/2026,BD85534,Jollof Rice,1,1800,1800,Amala Pavilion,App,Transfer,500
07/07/2026,BD83147,Pounded Yam & Egusi,2,2517,5034,Alaga Spot,walk-in,card,500
08/07/2026,BD74592,Eba & Okra,4,1500,6000,Butter N Crumbs,walk-in,Transfer,0
09/05/2026,BD16705,Fish (piece),1,1200,1200,Alaga Spot,walkin,card,200
2026-05-28,BD79330,Chicken (piece),1,1500,1500,Amala Pavilion,Walk In,Cash,500
28-Jun-2026,BD68170,Chicken (piece),2,1500,3000,Amala Pavilion,app,Cash,0
2026-07-27,BD13003,Eba & Okra,1,1500,1500,Butter N Crumbs,phone,Cash,0
09/07/2026,BD39769,Moi Moi,2,700,1400,Munchies,App,card,200
02/07/2026,BD10734,Jollof Rice,1,1800,1800,Alaga Spot,walk-in,POS,0
18-Jul-2026,BD87274,Meat Pie,1,800,800,Butter N Crumbs,APP,Cash,200
05/05/2026,BD84177,Jollof Rice,4,1800,7200,Munchies,Phone,pos,200
03/05/2026,BD23446,Fish (piece),3,1200,3600,Butter N Crumbs,Walk In,Cash,300
11/06/2026,BD74091,Beef (piece),1,800,800,Butter N Crumbs,App,pos,0
01/05/2026,BD18326,White Rice & Stew,2,1500,3000,Butter N Crumbs,Phone,card,200
09/06/2026,BD94078,Moi Moi,1,700,700,Butter N Crumbs,app,POS,500
16/05/2026,BD67637,Zobo,1,500,500,Alaga Spot,Walk In,card,0
2026-05-21,BD88188,Pounded Yam & Egusi,1,2500,2500,Alaga Spot,phone,Cash,0
26-Jul-2026,BD12293,Zobo,4,500,2000,Jummie Kitchen,app,cash,300
03/05/2026,BD21003,Jollof Rice,3,1800,5400,Alaga Spot,Phone,Transfer,0
05/06/2026,BD42011,Eba & Okra,4,1500,6000,Jummie Kitchen,App,POS,0
05/05/2026,BD52516,Puff Puff (6pcs),1,500,500,Jummie Kitchen,walkin,cash,300
17/05/2026,BD47364,  SOFT DRINK  ,3,NGN400,1200,Munchies,APP,pos,500
31/05/2026,BD44654,Amala & Ewedu,1,2000,2000,Munchies,app,Transfer,300
24/07/2026,BD85605,Beef (piece),1,800,800,Munchies,app,POS,300
16/05/2026,BD13373,Soft Drink,2,400,800,Jummie Kitchen,App,Cash,0
12/06/2026,BD52949,Chicken (piece),1,1500,1500,Jummie Kitchen,APP,pos,500
10/06/2026,BD97097,White Rice & Stew,3,1500,4500,Amala Pavilion,walk-in,Cash,200
26/05/2026,BD78251,Zobo,1,500,500,Butter N Crumbs,walk-in,Cash,0
28/05/2026,BD47274,Jollof Rice,1,1800,1800,Butter N Crumbs,APP,Cash,500
12/06/2026,BD53403,Beef (piece),1,800,800,Butter N Crumbs,walkin,card,200
12/05/2026,BD51220,  ZOBO  ,1,500,500,Alaga Spot,APP,pos,300
22/06/2026,BD59559,Pounded Yam & Egusi,1,2500,2500,Munchies,Walk In,transfer,0
08/05/2026,BD90584,Chicken (piece),1,1500,1500,Butter N Crumbs,phone,Transfer,0
06/06/2026,BD73620,Fried Rice,1,1978,1978,Amala Pavilion,phone,POS,0
23/07/2026,BD66966,Bottled Water,1,200,200,Alaga Spot,Walk In,POS,500
18/06/2026,BD87489,Fish (piece),2,1200,2400,Alaga Spot,walk-in,transfer,0
19-May-2026,BD41958,Puff Puff (6pcs),1,500,500,Jummie Kitchen,phone,pos,0
10/06/2026,BD63382,White Rice & Stew,1,1500,1500,Munchies,walkin,Transfer,0
2026-07-08,BD29841,Soft Drink,1,400,400,Alaga Spot,walkin,transfer,0
